Season,Game,Week,Date,Market,Team,Opponent,Possesions,Possesions Against,Goals,2pt Goals,Goals Against,Score,Score Against,Efficiency,D Efficiency,Unassisted Goals,Unassisted Shots,Unassisted Sh. %,Unassisted goals A,Unassisted Shots Against,Unassisted A%,Assisted Goals,Assisted Shots,Assisted Sh. %,Assisted Goals A,Assisted Sh A,Assisted A%,Shots,Shots A,Dodge G,Dodge Sh,Dodge Sh%,Dodge G A,Dodge Sh A,Dodge Sh% A,Two-man G,Two-man Sh,Two-man Sh%,Two-man G A,Two-man Sh A,Two-man Sh% A,Second Assists,Second AOs,Turnovers,AO-to-TO Ratio,PNR Assists,FB Possesion,FB Goals,FB Shots,FB Points,FB Turnovers,FB %,FB Possesion Against,FB Goals Against,FB Shots Against,FB Points Against,FB CTO,Settled Possesion,Settled Goal,Settled Shots,Settled Poss A,Settled Goals agaisnt,Settled Shots Against,Saves,Save %,Devitte,Unique Goal Scorers,Average Shot Distance,Average Assist Distance,TOP (sec),TOP %,Possession %,Result,Possesion Battle,P&W,Margin,Quality Shots,Tough Shots,Shot Quality Ratio,Quality Shots A,Tough Shots A,Shot Quality A Ratio,Shot Quality Margin,Expected Goals
2019,17,6,7/6/2019,Washington DC,Whipsnakes,Atlas,36,36,11,0,9,11,9,0.31,0.25,8,26,0.31,6,26,0.23,3,15,0.20,3,19,0.16,41,45,4,18,0.22,6,21,0.29,2,10,0.20,2,15,0.13,2,6,10,0.30,1,9,5,10,5,0,0.56,5,1,4,1,1,20,5,24,29,7,37,16,0.6,4,10,10.52843747,#DIV/0!,1136,0.39,0.50,W,L,0,2,18,23,1.3,13,32,2.5,-1.2,13.2
2019,17,6,7/6/2019,Washington DC,Atlas,Whipsnakes,36,36,9,0,11,9,11,0.25,0.31,6,26,0.23,8,26,0.31,3,19,0.16,3,15,0.20,45,41,6,21,0.29,4,18,0.22,2,15,0.13,2,10,0.20,1,2,10,0.30,1,5,1,4,1,1,0.20,9,5,10,5,0,29,7,37,20,5,24,16,0.6,2,6,10.93376607,#DIV/0!,1309,0.45,0.50,L,L,0,-2,13,32,2.5,18,23,1.3,1.2,11.9
2019,18,6,7/7/2019,Washington DC,Chrome,Chaos,46,38,19,0,11,19,11,0.41,0.29,8,22,0.36,5,23,0.22,11,22,0.50,6,14,0.43,44,37,9,24,0.38,6,19,0.32,2,7,0.29,0,8,0.00,2,3,12,0.92,1,7,3,5,3,2,0.43,10,4,6,4,4,28,12,32,21,6,27,6,0.4,18,9,9.059781308,#DIV/0!,1336,0.46,0.55,W,W,1,8,20,24,1.2,17,20,1.2,0.0,14.9
2019,18,6,7/7/2019,Washington DC,Chaos,Chrome,38,46,11,0,19,11,19,0.29,0.41,5,23,0.22,8,22,0.36,6,14,0.43,11,22,0.50,37,44,6,19,0.32,9,24,0.38,0,8,0.00,2,7,0.29,3,3,15,0.40,0,10,4,6,4,4,0.40,7,3,5,3,2,21,6,27,28,12,32,15,0.4,2,6,9.524858084,#DIV/0!,1141,0.40,0.45,L,L,0,-8,17,20,1.2,20,24,1.2,0.0,13.9
2019,19,7,7/27/2019,Denver,Redwoods,Atlas,37,43,15,0,15,15,18,0.41,0.35,8,27,0.30,2,14,0.14,7,14,0.50,13,23,0.57,41,37,9,27,0.33,7,18,0.39,1,2,0.50,1,3,0.33,3,4,15,0.47,0,12,2,9,2,3,0.17,7,3,7,4,0,25,11,27,26,7,20,12,0.4,7,7,9.551316833,#DIV/0!,1166,0.40,0.46,L,L,0,-3,11,30,2.7,15,22,1.5,1.3,14.4
2019,19,7,7/27/2019,Denver,Atlas,Redwoods,43,37,15,3,15,18,15,0.35,0.41,2,14,0.14,8,27,0.30,13,23,0.57,7,14,0.50,37,41,7,18,0.39,9,27,0.33,1,3,0.33,1,2,0.50,5,10,16,0.81,1,7,3,7,4,0,0.43,12,2,9,2,3,26,7,20,25,11,27,12,0.4,12,6,10.72097959,#DIV/0!,1206,0.42,0.54,W,W,1,3,15,22,1.5,11,30,2.7,-1.3,13.6
2019,20,7,7/27/2019,Denver,Whipsnakes,Chaos,44,44,12,0,12,12,13,0.27,0.27,5,23,0.22,5,22,0.23,7,21,0.33,7,18,0.39,44,40,4,16,0.25,5,20,0.25,1,8,0.13,4,10,0.40,2,5,13,0.54,1,17,6,15,6,2,0.35,6,3,4,4,2,22,4,23,32,9,29,16,0.6,6,8,11.44291357,#DIV/0!,1012,0.35,0.50,L,L,0,-1,13,31,2.4,18,22,1.2,1.2,12.7
2019,20,7,7/27/2019,Denver,Chaos,Whipsnakes,44,44,12,1,12,13,12,0.27,0.27,5,22,0.23,5,23,0.22,7,18,0.39,7,21,0.33,40,44,5,20,0.25,4,16,0.25,4,10,0.40,1,8,0.13,1,6,18,0.39,1,6,3,4,4,2,0.50,17,6,15,6,2,32,9,29,22,4,23,21,0.6,1,7,10.57130092,#DIV/0!,1398,0.49,0.50,W,L,0,1,18,22,1.2,13,31,2.4,-1.2,14.1
2019,21,7,7/28/2019,Denver,Chrome,Archers,38,34,7,0,7,7,9,0.18,0.21,3,29,0.10,6,19,0.32,4,25,0.16,1,20,0.05,54,39,3,33,0.09,3,14,0.21,2,11,0.18,3,16,0.19,2,5,11,0.36,1,14,2,10,2,4,0.14,9,0,7,0,2,29,5,42,27,6,28,11,0.6,0,5,10.95826123,#DIV/0!,1410,0.49,0.53,L,W,0,-2,14,40,2.9,11,28,2.5,0.3,15.8
2019,21,7,7/28/2019,Denver,Archers,Chrome,34,38,7,2,7,9,7,0.21,0.18,6,19,0.32,3,29,0.10,1,20,0.05,4,25,0.16,39,54,3,14,0.21,3,33,0.09,3,16,0.19,2,11,0.18,0,4,12,0.08,0,9,0,7,0,2,0.00,14,2,10,2,4,27,6,28,29,5,42,17,0.7,-4,4,10.75134985,#DIV/0!,1076,0.37,0.47,W,L,0,2,11,28,2.5,14,40,2.9,-0.3,12.8
2019,22,8,8/10/2019,San Jose,Chaos,Redwoods,45,41,10,3,10,13,10,0.22,0.24,4,17,0.24,6,24,0.25,6,23,0.26,4,21,0.19,40,45,8,22,0.36,6,18,0.33,0,1,0.00,3,8,0.38,1,4,19,0.32,0,14,2,14,3,0,0.14,12,1,12,1,1,27,8,22,21,9,24,14,0.6,-3,7,11.8444377,#DIV/0!,1241,0.43,0.52,W,W,1,3,14,26,1.9,18,27,1.5,0.4,13.3
2019,22,8,8/10/2019,San Jose,Redwoods,Chaos,41,45,10,0,10,10,13,0.24,0.22,6,24,0.25,4,17,0.24,4,21,0.19,6,23,0.26,45,40,6,18,0.33,8,22,0.36,3,8,0.38,0,1,0.00,1,5,15,0.27,1,12,1,12,1,1,0.08,14,2,14,3,0,21,9,24,27,8,22,9,0.5,-1,5,10.83744587,#DIV/0!,1016,0.35,0.48,L,L,0,-3,18,27,1.5,14,26,1.9,-0.4,13.9
2019,23,8,8/10/2019,San Jose,Chrome,Whipsnakes,40,34,18,2,13,20,16,0.45,0.38,10,28,0.36,5,20,0.25,8,15,0.53,8,25,0.32,43,45,11,29,0.38,5,22,0.23,3,5,0.60,1,4,0.25,2,3,14,0.57,3,7,3,7,4,0,0.43,12,5,12,6,0,30,15,35,21,5,26,9,0.4,12,7,10.41923024,#DIV/0!,1418,0.49,0.54,W,W,1,4,15,28,1.9,11,34,3.1,-1.2,14.1
2019,23,8,8/10/2019,San Jose,Whipsnakes,Chrome,34,40,13,3,18,16,20,0.38,0.45,5,20,0.25,10,28,0.36,8,25,0.32,8,15,0.53,45,43,5,22,0.23,11,29,0.38,1,4,0.25,3,5,0.60,4,13,12,0.67,1,12,5,12,6,0,0.42,7,3,7,4,0,21,5,26,30,15,35,8,0.3,9,7,11.9738671,#DIV/0!,1105,0.38,0.46,L,L,0,-4,11,34,3.1,15,28,1.9,1.2,14.3
2019,24,8,8/11/2019,San Jose,Atlas,Archers,35,36,11,0,15,11,15,0.31,0.42,4,17,0.24,6,28,0.21,7,29,0.24,9,22,0.41,46,50,7,22,0.32,4,18,0.22,0,4,0.00,5,12,0.42,3,9,12,0.58,0,11,1,11,1,0,0.09,9,4,11,4,0,23,7,25,19,9,30,15,0.5,6,6,10.96489536,#DIV/0!,1136,0.39,0.49,L,L,0,-4,17,29,1.7,23,27,1.2,0.5,15.2
2019,24,8,8/11/2019,San Jose,Archers,Atlas,36,35,15,0,11,15,11,0.42,0.31,6,28,0.21,4,17,0.24,9,22,0.41,7,29,0.24,50,46,4,18,0.22,7,22,0.32,5,12,0.42,0,4,0.00,2,5,10,0.90,4,9,4,11,4,0,0.44,11,1,11,1,0,19,9,30,23,7,25,16,0.6,14,9,9.592875396,#DIV/0!,1330,0.46,0.51,W,W,1,4,23,27,1.2,17,29,1.7,-0.5,16.7
2019,25,9,8/17/2019,Hamilton,Archers,Chaos,47,43,10,0,11,10,11,0.21,0.26,5,29,0.17,4,14,0.29,5,23,0.22,7,22,0.32,52,36,3,17,0.18,5,20,0.25,3,20,0.15,2,6,0.33,0,0,15,0.33,2,12,3,12,3,0,0.25,10,4,9,4,1,34,7,36,24,4,20,13,0.5,0,7,10.31956796,#DIV/0!,1588,0.55,0.52,L,W,0,-1,10,42,4.2,19,17,0.9,3.3,15.0
