Season,game Number,Week,Player,Team,Opposing Team,Position,goals,uaGoals,uaShots,uaS%,assistedGoals,assistedShots,assistedS%,% of Shots Assisted,shots,settledGoals,settledShots,settledSh%,fbGoals,subGoals,ppGoals,assists,assistOpportunities,dodgeAssists,pnrAssists,settledAssists,fbAssists,ppAssists,sh%Created,AO-to-SH Ratio,secondAssists,secondAo,sog,offShots,blockedShots,messyShots,pipeShots,shotClockResets,cleanSaveShots,shotTurnovers,turnovers,TO + Shot TO,AO-to-TO Ratio,rhGoals,rhShots,rhS%,lhGoals,lhShots,lhSh%,doorstepGoals,holeGoals,lpGoals,lwGoals,mGoals,rwGoals,rpGoals,twoPointGoals,doorstepShots,holeShots,lpShots,lwShots,mShots,rwShots,rpShots,twoPointShots,xg,playerId,teamId
2019,2,1,Michael Ehrhardt,Whipsnakes,Chaos,LSM,0,0,1,0.00%,0,1,0.00%,50.00%,2,0,0,0%,0,0,0,1,2,0,0,0,1,0,50.00%,1.00,0,0,0,1,0,0,1,0,1,1,0,1,0.00,0,2,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.4,000356,WHP
2019,2,1,Drew Snider,Whipsnakes,Chaos,M,2,1,2,50.00%,1,2,50.00%,50.00%,4,2,4,50%,0,0,0,1,2,0,0,0,0,0,50.00%,0.50,0,0,2,0,0,0,0,0,2,2,0,2,0.00,2,4,50.00%,0,0,0.00%,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0.6,000341,WHP
2019,2,1,Connor Fields,Chaos,Whipsnakes,A,2,2,5,40.00%,0,1,0.00%,16.67%,6,1,3,33%,0,0,0,0,3,0,0,0,0,0,0.00%,0.50,0,0,3,1,0,1,1,0,2,4,4,8,0.75,0,1,0.00%,2,5,40.00%,1,1,0,0,0,0,0,0,2,1,0,0,2,1,0,0,3.0,000262,CHA
2019,2,1,Mike Chanenchuk,Whipsnakes,Chaos,M,1,0,6,0.00%,1,3,33.33%,33.33%,9,1,7,14%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,2,4,3,1,4,0,0,3,0,3,0.00,1,8,12.50%,0,1,0.00%,0,0,0,0,0,1,0,0,0,0,0,1,1,5,0,2,1.4,000357,WHP
2019,2,1,Joe Locascio,Whipsnakes,Chaos,M,0,0,3,0.00%,0,1,0.00%,25.00%,4,0,4,0%,0,0,0,1,1,1,0,1,0,0,100.00%,0.25,1,2,1,2,1,0,2,1,0,0,1,1,1.00,0,1,0.00%,0,3,0.00%,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0.8,000349,WHP
2019,2,1,Miles Thompson,Chaos,Whipsnakes,A,0,0,1,0.00%,0,1,0.00%,50.00%,2,0,1,0%,0,0,0,1,1,0,0,0,1,0,100.00%,0.50,0,0,1,1,0,1,1,0,0,2,0,2,0.00,0,2,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5,000277,CHA
2019,2,1,Matt Rees,Chaos,Whipsnakes,LSM,0,0,0,0.00%,0,1,0.00%,100.00%,1,0,0,0%,0,0,0,0,1,0,0,0,0,0,0.00%,1.00,0,0,0,1,0,0,1,0,0,0,0,0,0.00,0,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,000276,CHA
2019,2,1,Kyle Bernlohr,Whipsnakes,Chaos,G,0,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,0,0,0,0,0,0,0,0,2,2,0.00,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,000353,WHP
2019,2,1,Josh Byrne,Chaos,Whipsnakes,A,4,2,2,100.00%,2,2,100.00%,50.00%,4,2,2,100%,1,0,1,0,1,0,0,0,0,0,0.00%,0.25,0,1,4,0,0,0,0,0,0,0,2,2,0.50,0,0,0.00%,3,3,100.00%,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1.8,000272,CHA
2019,2,1,Isaac Paparo,Whipsnakes,Chaos,LSM,1,1,1,100.00%,0,0,0.00%,0.00%,1,0,0,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,1,1,1,0,0,0,0,0,0,0,1,1,0.00,0,0,0.00%,0,0,0.00%,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8,000371,WHP
2019,2,1,Brodie Merrill,Chaos,Whipsnakes,D,0,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,000260,CHA
2019,2,1,Jake Bernhardt,Whipsnakes,Chaos,M,1,1,4,25.00%,0,0,0.00%,0.00%,4,0,1,0%,0,1,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,3,1,0,1,1,1,0,1,0,1,0.00,1,3,33.33%,0,1,0.00%,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0.6,000345,WHP
2019,2,1,Ryan Drenner,Whipsnakes,Chaos,A,2,1,2,50.00%,1,1,100.00%,33.33%,3,2,3,67%,0,0,0,0,1,0,0,0,0,0,0.00%,0.33,0,0,2,1,0,0,1,0,0,1,1,2,1.00,1,1,100.00%,1,2,50.00%,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1.0,000358,WHP
